Baranggay,Year,Month,Max Temperature,Min Temperature,Max Humidity,Min Humidity,Daily Precipitation,Forest Land Percentage,Elevation,Soil Type,Dengue Cases
Lapu-Lapu,2021,APR,34.4,25.43,82,69,5.4,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,MAY,35.4,24.6,83,73,6.8,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,JUNE,32.2,24.13,87,77,9.7,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,JULY,35.1,23.8,84,70,8.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,AUG,34.3,22.9,88,72,5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,SEPT,34.3,23,88,72,8.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,OCT,34.5,22.4,89,71,6.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,NOV,32.7,22.3,89,76,7.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,DEC,31.9,21.8,90.3,79.9,4,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,JAN,32.2,21.2,89,73,8.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,FEB,29.8,19.6,90,75,7.6,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,MAR,31.7,21.6,89,78,9.5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,APR,33.1,22.4,82,76,18.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,MAY,32.6,22.3,87,76,6.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,JUNE,34.1,22.3,82.4,66,3.6,11.55,Low,Camasan sandy clay loam,0
